experiment_id,cohort,method_id,seed,evaluation_mode,status,gaussian_nll,gaussian_crps,coverage50,coverage80,coverage90,coverage95,width90,interval_score90,mean_absolute_coverage_error,claim_boundary,lineage,row_type,component_label,width50,interval_score50,width80,interval_score80,width95,interval_score95,retained_fraction,retained_transitions,rmse,selection_quantity
KDD098R,respiratory,persistence_locf,3408,one_step,not_available,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Development-only factual logged-action planning-component validation. Action-information deltas are predictive diagnostics, not causal treatment effects. No confirmatory, policy-winner, treatment-benefit, causal, counterfactual, clinical-utility, deployment, or autonomous-decision claim.",KDD097/KDD098R unchanged,,,,,,,,,,,,
KDD098R,respiratory,persistence_locf,3408,recursive,not_available,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Development-only factual logged-action planning-component validation. Action-information deltas are predictive diagnostics, not causal treatment effects. No confirmatory, policy-winner, treatment-benefit, causal, counterfactual, clinical-utility, deployment, or autonomous-decision claim.",KDD097/KDD098R unchanged,,,,,,,,,,,,
KDD098R,respiratory,hgb_residual,3408,one_step,available_gaussian_scoring,1.0528589592115911,0.3634788411696267,0.62531347269257,0.8494446647589649,0.9120450544779164,0.9435363999212574,2.2572020234629,3.2093137677363823,0.048316698002048436,"Development-only factual logged-action planning-component validation. Action-information deltas are predictive diagnostics, not causal treatment effects. No confirmatory, policy-winner, treatment-benefit, causal, counterfactual, clinical-utility, deployment, or autonomous-decision claim.",KDD097/KDD098R unchanged,,,,,,,,,,,,
KDD098R,respiratory,hgb_residual,3408,recursive,available_gaussian_scoring,1.5951683289114855,0.4814249977328651,0.47673811514112335,0.7423917788130975,0.8326747672670317,0.8844879874696513,2.2572020234629,4.307836095831937,0.053426837827274046,"Development-only factual logged-action planning-component validation. Action-information deltas are predictive diagnostics, not causal treatment effects. No confirmatory, policy-winner, treatment-benefit, causal, counterfactual, clinical-utility, deployment, or autonomous-decision claim.",KDD097/KDD098R unchanged,,,,,,,,,,,,
KDD098R,respiratory,hgb_residual,3411,one_step,available_gaussian_scoring,1.052228861345086,0.3634814103170875,0.6247599918974976,0.8499268207093114,0.9119195227511989,0.9436391076976626,2.257192762226542,3.208396322329783,0.04824180691508631,"Development-only factual logged-action planning-component validation. Action-information deltas are predictive diagnostics, not causal treatment effects. No confirmatory, policy-winner, treatment-benefit, causal, counterfactual, clinical-utility, deployment, or autonomous-decision claim.",KDD097/KDD098R unchanged,,,,,,,,,,,,
KDD098R,respiratory,hgb_residual,3411,recursive,available_gaussian_scoring,1.4892576352401188,0.4706831353510967,0.4808692501476424,0.7476384343911283,0.8380783375034593,0.8904250675446279,2.257192762226542,4.126136564431354,0.04824722760328552,"Development-only factual logged-action planning-component validation. Action-information deltas are predictive diagnostics, not causal treatment effects. No confirmatory, policy-winner, treatment-benefit, causal, counterfactual, clinical-utility, deployment, or autonomous-decision claim.",KDD097/KDD098R unchanged,,,,,,,,,,,,
KDD098R,respiratory,hgb_residual,3414,one_step,available_gaussian_scoring,1.0526896296112387,0.3635260274342239,0.6243348958229318,0.8498583488583745,0.9118111089872157,0.9436476666790297,2.2557616921813635,3.2097555725404523,0.048089171747373066,"Development-only factual logged-action planning-component validation. Action-information deltas are predictive diagnostics, not causal treatment effects. No confirmatory, policy-winner, treatment-benefit, causal, counterfactual, clinical-utility, deployment, or autonomous-decision claim.",KDD097/KDD098R unchanged,,,,,,,,,,,,
KDD098R,respiratory,hgb_residual,3414,recursive,available_gaussian_scoring,1.509746401254986,0.47324271367403786,0.475739567314962,0.7452932734965436,0.8368943450810108,0.8898287918427201,2.2557616921813635,4.144828130548719,0.05056100556619088,"Development-only factual logged-action planning-component validation. Action-information deltas are predictive diagnostics, not causal treatment effects. No confirmatory, policy-winner, treatment-benefit, causal, counterfactual, clinical-utility, deployment, or autonomous-decision claim.",KDD097/KDD098R unchanged,,,,,,,,,,,,
KDD098R,respiratory,grud_world_model,3408,one_step,available_gaussian_scoring,0.9179133311981221,0.34820377784482964,0.5853401767144353,0.847176534696684,0.9173459169379389,0.9508600349777039,2.162467136742983,2.895539164435361,0.037680665831690496,"Development-only factual logged-action planning-component validation. Action-information deltas are predictive diagnostics, not causal treatment effects. No confirmatory, policy-winner, treatment-benefit, causal, counterfactual, clinical-utility, deployment, or autonomous-decision claim.",KDD097/KDD098R unchanged,,,,,,,,,,,,
KDD098R,respiratory,grud_world_model,3408,recursive,available_gaussian_scoring,1.3141073942563397,0.4944668541136045,0.5327994430956123,0.8115055533524104,0.8945562025511471,0.9348575928150205,2.7994198818708704,4.064324790036355,0.016222800270463772,"Development-only factual logged-action planning-component validation. Action-information deltas are predictive diagnostics, not causal treatment effects. No confirmatory, policy-winner, treatment-benefit, causal, counterfactual, clinical-utility, deployment, or autonomous-decision claim.",KDD097/KDD098R unchanged,,,,,,,,,,,,
KDD098R,respiratory,grud_world_model,3411,one_step,available_gaussian_scoring,0.9229423700920262,0.34908495436513487,0.5851062312237346,0.8471137688333252,0.9175741564410614,0.9509456247913748,2.176424031125721,2.904033921696987,0.037684945322374014,"Development-only factual logged-action planning-component validation. Action-information deltas are predictive diagnostics, not causal treatment effects. No confirmatory, policy-winner, treatment-benefit, causal, counterfactual, clinical-utility, deployment, or autonomous-decision claim.",KDD097/KDD098R unchanged,,,,,,,,,,,,
